Serial Number,Product ID,Product Image (URL),SKU,Product Name,Brand,Version ,Short description,Description,Price,Product Type,Category,Compatible products titles,Data Sheet/User Guide
COIMANHID20-BLANK,COIMANHID20-BLANK,https://transmittersolutions.com/wp-content/uploads/2016/06/adhesive-coil.jpg,,Community Controls Mango Coil Insert For Door Control,Community Controls,,Community Controls Mango Coil Insert For Door Control - HID or EM Format - 20mm Coil,Community Controls Mango Coil Insert For Door Control - HID or EM Format - 20mm Coil,$3.09,Coil,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx",
CAReGoMINI,CAReGoMINI,https://communitycontrols.com/wp-content/uploads/2018/08/transcore-ego-tag-new.jpg,,TransCore eGo Plus Micro Mini Tag,TransCore,,TransCore eGo Plus Micro Mini Tag (formerly part# CAReGoATA) - Specific FC and Numbering Required ,TransCore eGo Plus Micro Mini Tag (formerly part# CAReGoATA) - Specific FC and Numbering Required ,$16.81,UHF Transponder/Tag,,"5402 Tag, 5406 Tag, Mini external tag, Ego License Plate Tag, eGo Headlamp Tag",
TRAMON318LIPW1K-C,TRAMON318LIPW1K-C,https://communitycontrols.com/wp-content/uploads/2016/05/monarch_318lilp.jpg,,Community Controls Monarch Gate/Garage Remote with Charge Guard - 318 MHz Blue Button,Community Controls,,Community Controls Monarch Gate/Garage Remote with Charge Guard - 318 MHz Blue Button - Sold in quantities of 10,Community Controls Monarch Gate/Garage Remote with Charge Guard - 318 MHz Blue Button - Sold in quantities of 10,$15.44,Remote/Transmitter,,"Compatible with Linear® ACT-31B, ACT34-B & ACT-22B models
Linear® Megacode MDT-1, MDT-2, MCT-1, and MCT-2 models",
CARMANCLA-BLANK,CARMANCLA-BLANK,https://communitycontrols.com/wp-content/uploads/2016/06/Mango-Clamshell.jpg,,"Card, Mango Blank Clamshell HID or EM Format",Community Controls,,"Card, Mango Blank Clamshell HID or EM Format. Must specify HID or EM format, F.C. and Starting Number.","Card, Mango Blank Clamshell HID or EM Format. Must specify HID or EM format, F.C. and Starting Number.",$2.58,Card,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx",
CARRFIDKEYS,CARRFIDKEYS,https://communitycontrols.com/wp-content/uploads/2017/11/saflok-R20280.jpg,,Kaba Saflok InSync Black Key Fob,Kaba,,Kaba Saflok InSync Black Key Fob,Kaba Saflok InSync Black Key Fob,$9.00,Fob,,No Compatible,
CARFOB9691T,CARFOB9691T,Not on Website,,"Card, FOB Xceed ID 9691T",Schlage,,"Card, FOB Xceed ID 9691T (Stock numbering)  125 kHz Prox/MIFARE Dual Tech Keyfobs - Sold in quantities of 50 ","Card, FOB Xceed ID 9691T (Stock numbering)  125 kHz Prox/MIFARE Dual Tech Keyfobs - Sold in quantities of 50 ",$8.77,Fob,,No Compatible,
CARMANCLA,CARMANCLA,https://communitycontrols.com/wp-content/uploads/2016/06/Mango-Clamshell.jpg,,Community Controls Mango Controlled Access Card,Community Controls,,Community Controls Mango Controlled Access Card - HID or EM Format,Community Controls Mango Controlled Access Card - HID or EM Format,$2.73,Card,,"HID Prox Key II, Prox Key III, HID Clamshell",
CARAWIDCLAPRO,CARAWIDCLAPRO,https://communitycontrols.com/awid-cards-fobs/awid-26-bit-access-card/,,AWID Controlled Access Card,AWID,,AWID Controlled Access Card - Sold in quantities of 50,AWID Controlled Access Card - Sold in quantities of 50,$2.97,Card,,"AWID Key Fob, AWID Adhesive Coil",
CARFOBTEARBLK-BLANK,CARFOBTEARBLK-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-tear-drop-fob/,,Community Controls Teardrop Black Key Fob,Community Controls,,Community Controls Teardrop Black Key Fob - HID or EM Format - Additional Print/Programming Line Required,Community Controls Teardrop Black Key Fob - HID or EM Format - Additional Print/Programming Line Required,$4.12,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx",
CARRFIDKEYS-DUAL,CARRFIDKEYS-DUAL,https://communitycontrols.com/electronic-locks/kaba-insync-locks/insync-rfid-key-credentials/saflok-insync-rfid-key-prox-w30007/,,Saflok InSync Black Key Fob - Dual Credential W30007,Kaba,,Saflok InSync Black Key Fob - Dual Credential W30007 - Sold in Quantities of 50,Saflok InSync Black Key Fob - Dual Credential W30007 - Sold in Quantities of 50,$15.50,Fob,,No Compatible,
CARMANISOPROX-BLANK,CARMANISOPROX-BLANK,https://communitycontrols.com/mango-cards-fobs-2/hid-compatible-iso-prox-card/,,"Card, Mango ISO PROX HID or EM Format - Blank Card",Community Controls,,"Card, Mango ISO PROX HID or EM Format.  Blank Card.  Must Specify  Format, F.C. and Starting Number","Card, Mango ISO PROX HID or EM Format.  Blank Card.  Must Specify  Format, F.C. and Starting Number",$2.88,Card,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
TRADOO8069-080,TRADOO8069-080,https://communitycontrols.com/doorking-remotes/doorking-microplus-8069-080-remote/,,Doorking MicroPLUS 1 Button Remote,Doorking,,Doorking MicroPLUS 1 Button Remote - Sold in quantities of 10,Doorking MicroPLUS 1 Button Remote - Sold in quantities of 10,$12.35,Remote/Transmitter,,Doorking 8070-080/8071-080 Remotes,
CARAWIDTAG,CARAWIDTAG,https://communitycontrols.com/awid-cards-fobs/awid-uhf-windshield-sticker-tag/,,AWID UHF Controlled Access Windshield Tag,AWID,,AWID UHF Controlled Access Windshield Tag - FC: 077 - Stock Numbers - P/N: WS-UHF-0-0 - Sold in Quantities of 25,AWID UHF Controlled Access Windshield Tag - FC: 077 - Stock Numbers - P/N: WS-UHF-0-0 - Sold in Quantities of 25,$10.40,UHF Transponder/Tag,,"AWID UHF Systems, LR-2000/LR-3000 readers, Hang Tags, Visor Tags, Side view Mirror tags, UHF Card",
CARHIDFOB-BLANK,CARHIDFOB-BLANK,https://communitycontrols.com/hid-cards-fobs/hid-proxkey-iii-access-fob/,,HID Controlled Access Key Fob - Blank,HID,,HID Controlled Access Key Fob - Blank -Additional Print/Programming Line Required,HID Controlled Access Key Fob - Blank -Additional Print/Programming Line Required,$7.12,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
